Column1,Column2,Column3,Column4,Column5
John Sweller,"Cognitive load theory uses our knowledge of human cognitive architecture to devise instructional procedures, most of which are directly relevant to computer science education. There are several basic aspects of human cognition that are critical to instructional design. First, based on evolutionary educational psychology, cognitive load theory assumes that most topics taught in educational and training institutions are ones that we have not specifically evolved to learn. Such topics require biologically secondary knowledge rather than the biologically primary knowledge that we have evolved to acquire. Second, these instructionally relevant topics require learners to acquire domain-specific rather than generic cognitive skills. Third, while generic cognitive knowledge does not require explicit instruction because we have evolved to acquire it, domain-specific concepts and skills that provide the content of educational syllabi, do require explicit instruction. These three factors interact with the well-known capacity and duration constraints of working memory and the unlimited capacity and duration characteristics of long-term memory to delineate a cognitive architecture relevant to instructional design. The working memory limits do not apply to biologically primary, generic knowledge acquired without explicit instruction but do apply to the biologically secondary, domain-specific knowledge that requires explicit instruction and that is relevant to computer science education. Human cognition when dealing with such knowledge constitutes a natural information processing system that has evolved to mimic the architecture of biological evolution. Cognitive load theory uses this architecture to generate a large range of instructional effects concerned with procedures for reducing extraneous working memory load in order to facilitate the acquisition of knowledge in long-term memory. This talk reviews the theory and indicates the instructional implications relevant to computer education.",Cognitive Load Theory and Computer Science Education,NA,2016
Barbara Boucher Owens,"Service is the rent we pay for the space we take up on earth, my dad's mantra, and one used by many. Participating in professional organizations such as SIGCSE and its parent organization, ACM, has been for me an incredibly rewarding obligation. Many have given of their time and talents to help me on my way. Some of those who have followed in my footsteps have also forged paths of service making mine pale in comparison. This computer science education community affords incredibly rich opportunities for service in venues ranging from local to international. Service in SIGCSE and similar communities can reap untold benefits for both the volunteer and the community served.",Service as Rent,NA,2016
Jan Cuny,"Computer Science (CS) education has caught a wave -- of media attention, public support, public/private commitments, broad-based participation by educators, and a surge in student enrollments at the undergraduate level. It is a startling change over just the last 5 years. Over that 5 years, much has been accomplished at the high school level. The Exploring Computer Science and Advanced Placement® CS Principles courses were created to engage and inspire a diverse mix of students. Hundreds of teachers and university faculty have collaborated to develop course materials, assessments, MOOCS, and models of teacher professional development. Over 2,000 high schools now offer new CS courses, but that leaves out more than 34,000. Even then, students will need more than a single course, they will need a K-16 CS pathway. At the K-8 level, CS does not have the decades of research on the teaching and learning that is available to many other, more established disciplines. A stronger evidence base is needed as the basis for pedagogy, curricula, standards, and teacher preparation. The CS community must put greater emphasis on research in CS education and broadening participation, and it must build stronger collaborations with researchers in related disciplines. Over the last 5 years, college-level CS departments have been inundated with students. This growth is fueled by a strong job market for CS majors and an increasing awareness that computation is fundamental to many other industry sectors and academic disciplines. How will departments cope with increasing numbers without sacrificing access or quality? How will they respond to increasing diversity of ethnicity and gender, but also of interests, and career goals of their students? For those interested in CS education, it's an exciting time, but it comes with some urgency. This talk will discuss how to catch the current wave, using it to full advantage.",CS Education: Catching the Wave,NA,2016
Karen Lee Ashcraft,"Occupations, like individuals, take on social identities such as gender and race. The social identity of an occupation has profound effects, for example, on wages and prestige, degree of professionalization, and ability to recruit and retain diverse populations. Sifting the historical evidence on technical work, Dr. Ashcraft develops a new concept---the ""glass slipper""---which explains how durable associations between occupations and people arise and how they circulate among us like powerful brands. Despite appearances, this process is neither natural nor determined. It is political, however, revealing a reality more daunting than recent advice to ""lean in"" suggests. But if the social identities of occupations are strategically constructed, they also can be challenged through creative re-branding.","Lean In to the Evidence: Breaking the ""Glass Slipper"" of Technical Professions",NA,2016
Tiffany Barnes,NA,Session details: Demonstration Session,NA,2016
Clifford A. Shaffer,"The open-source OpenDSA eTextbook system is seeing rapidly growing use around the world. It combines textbook-quality tutorial material with many algorithm visualizations (AVs), simulations, and a large collection of interactive exercises, including small programming exercises. Its materials are re-configurable for specific classes. Being implemented in HTML5, it requires only a web browser to be accessible to students. Available content now includes comprehensive coverage for Data Structures and Algorithms courses, and rapidly growing content for Programming Languages, Translators, and Formal Languages courses. This session will provide a demonstration of the most innovative features of OpenDSA as they might be used by students and instructors in a range of Computer Science courses.",OpenDSA: An Interactive eTextbook for Computer Science Courses,NA,2016
Daniel M. Olivares:Christopher D. Hundhausen,"In order best to support learning analytics in computing education, learning management systems (LMS) should be interfaced with computer programming environments, in which computing students spend much of their time. To this end, we have developed OSBLE+, an outgrowth of the OSBLE (Online Studio- Based Learning Environment) LMS we have been developing over the past eight years. OSBLE+ supports two innovations that make it particularly well-suited to supporting learning analytics in computing education. First, it connects to the Microsoft Visual Studio computer programming environment via a plugin that gives it access to all programming process data within Visual Studio, including edits, compilation attempts, compilation errors, debugging attempts, and run-time exceptions. This enables OSBLE+ to provide students and instructors with a visual analytics environment in which they can explore, compare, and contrast the programming activities of students in the class. Second, the plugin turns Visual Studio into a social programming environment by injecting into it a social media-style activity stream, which enables students (a) to pose and answer programming questions, and (b) to see and explore the programming activities of their peers. Students' social activities within the activity stream are sent to OSBLE+, and are subsequently included as data in the visual analytics environment. OSBLE+ is open source and freely hosted at http://plus.osble.org. While OSBLE+ presently interfaces only with Visual Studio, a plug-in for the Eclipse programming environment is under active development.",OSBLE+: A Next-Generation Learning Management and Analytics Environment for Computing Education,NA:NA,2016
Albert Chan,NA,Session details: Paper Session: Data Structures,NA,2016
Scott Grissom:Laurie Murphy:Renée McCauley:Sue Fitzgerald,"This paper reports on a study of goal-plans and errors produced by students who wrote recursive solutions for a binary tree operation. This work extends a previous study of difficulties CS2 students experienced while writing solutions on paper-based exams. In this study, participants solved the same recursive binary tree problem as part of a hands-on computer-based exam where students had access to an IDE and Java API documentation. Not surprisingly, students who took the computer-based exams were more successful than those who took the paper-based exams (58% vs. 17% correct solutions). However, even with the advantage of access to an IDE, documentation, and test cases, 42% of students taking the computer-based exam still made errors, indicating that students exhibit persistent errors even with support. The most common errors observed included incorrect calculations, missing method calls and missing and incorrect base cases.",Paper vs. Computer-based Exams: A Study of Errors in Recursive Binary Tree Algorithms,NA:NA:NA:NA,2016
Holger Danielsiek:Jan Vahrenhold,"This paper reports on first steps towards identifying factors indicating students' performance in a CS2 course. We discuss a study undertaken to investigate the predictive and explanation power as well as the limits of weekly test items based on concept inventory questions, homework grades, and performance in a preceding CS1 course. We relate our findings for two subgroups to results on academic success in general and performance in a CS1 course in particular.",Stay on These Roads: Potential Factors Indicating Students' Performance in a CS2 Course,NA:NA,2016
