Column1,Column2,Column3,Column4,Column5
Yoomi Choi,"With the advent of media, artists have expanded the domains of visual arts through various new attempts to integrate digital technology with arts. Along with the changes in working environment, nowadays, there have been new attempts to reinterpret old masterpiece using digital media. The initial studies regarding 3D image of oriental painting were mainly focused on non-photorealistic rendering techniques. However, the technique has limitations in expressing or reproducing the unique elements of expression used in oriental paintings. The traditional oriental paintings were not expressed with perspective view and shadow; and in a water ink painting, color expression is also limited because of the unique properties of the ingredient, 'Muk (Ink Stick).' Moreover, the oriental paintings have multiple viewpoints in one scene. Therefore, there are difficulties in using tools such as Maya or 3DMax to express the traditional artworks of the East. In this context, the purpose of this study is to provide alternative solutions to resolve the problems that arise in the process of recreating oriental paintings into 3D image, based on the theoretical framework of spatial arrangement and composition principles. Also, the study reinterpreted the classical works by applying storytelling techniques, which utilize the expandability of time, a main characteristic of visual media. <Inwang Jesaekdo> and <Geumgang Jeondo>, the two major artwork of Gyeomjae Jeong Seon, who is one of the most representative literary artists of the Joseon Dynasty, were reinterpreted with 3D digital image, and new design methods and techniques were applied.",A study on 3D digital image applying oriental painting techniques,NA,2016
Shinichi Higashino:Sakiko Nishi:Ryuuki Sakamoto,"In this paper, we present ARTTag, an aesthetic fiducial marker system, of which the design development can be performed with any color, texture, shape, or other features as long as circle pairs are integrated. By utilizing the projective properties of circular features, ARTTag is appropriate for detection, identification, and camera-based registration in augmented reality (AR) applications.",ARTTag: aesthetic fiducial markers based on circle pairs,NA:NA:NA,2016
Suzi Kim:Sunghee Choi,"Three-dimensional typography (3D typography) refers to the arrangement of text in three-dimensional space. It injects vitality into the letters, thereby giving the viewer a strong impression that is hard to forget. These days, 3D typography plays an important role in daily life beyond the artistic design. It is easy to observe the 3D typography used in the 3D virtual space such as movie or games. Also it is used frequently in signboard or furniture design. Despite its noticeable strength, most of the 3D typography is generated by just a simple extrusion of flat 2D typography. Comparing with 2D typography, 3D typography is more difficult to generate in short time due to its high complexity.",Automatic generation of 3D typography,NA:NA,2016
Asako Soga:Yuho Yazaki:Bin Umino:Motoko Hirayama,"We developed a body-part motion synthesis system (BMSS) that allows users to create short choreographies by synthesizing body-part motions and to simulate them in 3D animation. This system automatically provides various short choreographies. First, users select a base motion and body-part categories. Then the system automatically selects and synthesizes body-part motions to the base motion. The system randomly determined the synthesis timings of the selected motions. Users can use the composed sequences as references for dance creation, learning, and training. We experimentally evaluated our system's effectiveness for supporting dance creation with four professional choreographers of contemporary dance. From our experiment results, we basically verified the usability of BMSS for choreographic creation.",Body-part motion synthesis system for contemporary dance creation,NA:NA:NA:NA,2016
Yuxiao Du:Ergun Akleman,"In this work, we have developed an approach to include global illumination effects into charcoal drawing (see Figure 1). Our charcoal shader provides a robust computation to obtain charcoal effect for a wide variety of diffuse and specular materials. Our contributions can be summarized as follows: (1) A Barrycentric shader that is based on degree zero B-spline basis functions; (2) A set of hand-drawn charcoal control texture images that naturally provide desired charcoal look-and-feel; and (3) A painter's hierarchy for handling a high number of shading parameters consistent with charcoal drawing.",Charcoal rendering and shading with reflections,NA:NA,2016
Yaozhun Huang:Sze-Chun Tsang:Miu-Ling Lam,"Light painting is a photography technique in which light sources are moved in specific patterns while being captured by long exposure. The movements of lights will result in bright strokes or selectively illuminated and colored areas in the scene being captured, thus decorating the real scene with special visual effects without the need for post-production. Light painting is not only a popular activity for hobbyists to express creativities, but also a practice for professional media artists and photographers to produce aesthetic visual arts and commercial photography. In conventional light paintings, the light sources are usually flashlights or other simple handheld lights made by attaching one or multiple LEDs to a stick or a ring. The patterns created are limited to abstract shapes or freehand strokes.",Computational swept volume light painting via robotic non-linear motion,NA:NA:NA,2016
Takeshi Oozu:Aki Yamada:Yuki Enzaki:Hiroo Iwata,"Furniture-device is the device having furniture appearance and physical input and output function. The Escaping Chair is a furniture-device having physical and dynamic interaction with a user to let them perceive the intent of their action and personify the furniture. The Escaping Chair interacts with the bystanders by trying to move away from nearby people. By doing this, the device tries to make the person fail to sit on it, and stimulates their perception about sitting. The idea of a furniture-shaped device was extended from one of my previous artworks, which used furniture as input mechanisms. I exhibited the chair and observed the interaction sit produced with exhibition visitors. It succeeded in making people wonder during the interaction, as I planned, and making them further chase the chair, which indicates a new capability of the device. There were some challenges regarding load tolerance, detection latency and failure, which I have proposed improvements for.",Escaping chair: furniture-shaped device art,NA:NA:NA:NA,2016
Felipe Caputo:Victoria Mc Gowen:Joe Geigel:Steven Cerqueira:Quincey Williams:Marla Schweppe:Zhongyuan Fa:Anastasia Pembrook:Heather Roffe,"Farewell to Dawn is a mixed reality dance performance which explores two dancers' voyage from a physical space to a virtual stage and back, as the day passes before them.",Farewell to dawn: a mixed reality dance performance in a virtual space,NA:NA:NA:NA:NA:NA:NA:NA:NA,2016
E. Entem:L. Barthe:M.-P. Cani:M. van de Panne,"We present an automatic method to build a layered vector graphics structure ready for animation from a clean-line vector drawing of an organic, smooth shape. Inspiring from 3D segmentation methods, we introduce a new metric computed on the medial axis of a region to identify and quantify the visual salience of a sub-region relative to the rest. This enables us to recursively separate each region into two closed sub-regions at the location of the most salient junction. The resulting structure, layered in depth, can be used to pose and animate the drawing using a regular 2D skeleton.",From drawing to animation-ready vector graphics,NA:NA:NA:NA,2016
Hiroko Iwasaki:Momoko Kondo:Rei Ito:Saya Sugiura:Yuka Oba:Shinji Mizuno,"In this paper, we propose a method to interact with virtual shadows through real shadows various physical objects by using two projectors. In our method, the system scans physical objects in front of a projector, generates virtual shadows with CG according to the scan data, and superimposes the virtual shadows to real shadows of the physical objects with the projector. Another projector is used to superimpose virtual light sources inside real shadows. Our method enables us to experience novel interaction with various shadows such as shadows of flower arrangements.",Interaction with virtual shadow through real shadow using two projectors,NA:NA:NA:NA:NA:NA,2016
Yuki Igarashi:Tsubasa Hiyama:Kaoru Arakawa,"We propose an interactive system to assist novices in the design and construction of original necklaces. The system consists of two design tools, an interactive drag-and-drop design tool using images of pearls and a design selection tool with an interactive evolutionary computation (IEC) system. The system includes a virtual modeling simulation which allows users to superimpose a necklace design over their own photograph, taken with a web camera. The system also provides a customized construction guide to assist the user with the construction process. We conduct a field trial to demonstrate that non-professional users can design original necklaces using our system.",An interactive system for original necklace design,NA:NA:NA,2016
Ryan Lustig:Balu Adsumilli:David Newman,"Image composition for GoPro videos captured in the presence of significant camera motion is a manual and time consuming process. Existing techniques typically fail to automate this process due to the wide-capture field of view and high camera motion of such videos. The proposed method seeks to solve these problems by developing an image registration algorithm for fisheye images without expensive pixel warping or loss of field of view. Background subtraction is performed to extract moving foreground objects, which are noise corrected and then layered on a reference image to build the final composite. The results show marked improvements in accuracy and efficiency for automating image composition.",Motion compensated automatic image compositing for GoPro videos,NA:NA:NA,2016
Caio Brito:Gutenberg Barros:Walter Correia:Veronica Teichrieb:João Marcelo Teixeira,"Accessible tactile pictures (ATPs) consist of tactile representations that convey different kinds of messages and present information through the sense of touch. Traditional approaches use contours and patterns, which create a distinct and recognizable shape and enables separate objects to be identified. The success rate for recognizing pictures by touch is much lower than it would be for vision. Besides that, some pictures are more frequently recognized than others. Finally, there is also some variation from individual to individual: while some blind people recognize many images, others recognize few. Auditory support can improve the points listed before, even eliminating the need for sighted assistance.",Multimodal augmentation of surfaces using conductive 3D printing,NA:NA:NA:NA:NA,2016
